name,result,time,prop
goal1.smt2,success,25.06 ms,(forall ((n Nat) (xs Lst)) (= (append (take n xs) (drop n xs)) xs)) ; G1
goal10.smt2,success,2.77 ms,(forall ((m Nat)) (= (minus m m) zero)) ; G10
goal11.smt2,success,2.42 ms,(forall ((xs Lst)) (= (drop zero xs) xs)) ; G11
goal12.smt2,success,7.09 ms,(forall ((n Nat) (xs Lst)) (= (drop n (lmap xs)) (lmap (drop n xs)))) ; G12
goal13.smt2,success,3.99 ms,(forall ((n Nat) (x Nat) (xs Lst)) (= (drop (succ n) (cons x xs)) (drop n xs))) ; G13
goal14.smt2,success,14.55 ms,(forall ((xs Lst) (ys Lst)) (= (filter (append xs ys)) (append (filter xs) (filter ys)))) ; G14
goal15.smt2,success,10.63 ms,(forall ((x Nat) (l Lst)) (= (len (insort x l)) (succ (len l)))) ; G15
goal16.smt2,success,2.69 ms,(forall ((xs Lst) (x Nat)) (=> (= xs nil) (= (last (cons x xs)) x))) ; G16
goal17.smt2,success,2.77 ms,(forall ((n Nat)) (= (leq n zero) (= n zero))) ; G17
goal18.smt2,success,5.13 ms,(forall ((i Nat) (m Nat)) (less i (succ (plus i m)))) ; G18
goal19.smt2,success,11.13 ms,(forall ((n Nat) (xs Lst)) (= (len (drop n xs)) (minus (len xs) n))) ; G19
goal2.smt2,success,13.72 ms,(forall ((n Nat) (l Lst) (m Lst)) (= (plus (count n l) (count n m)) (count n (append l m)))) ; G2
goal20.smt2,success,146.10 ms,(forall ((l Lst)) (= (len (sort l)) (len l))) ; G20
goal21.smt2,success,18.12 ms,(forall ((n Nat) (m Nat)) (leq n (plus n m))) ; G21
goal22.smt2,success,71.73 ms,(forall ((a Nat) (b Nat) (c Nat)) (= (nmax (nmax a b) c) (nmax a (nmax b c)))) ; G22
goal23.smt2,success,13.27 ms,(forall ((a Nat) (b Nat)) (= (nmax a b) (nmax b a))) ; G23
goal24.smt2,success,11.13 ms,(forall ((a Nat) (b Nat))(= (= (nmax a b) a) (leq b a))) ; G24
goal25.smt2,success,3.54 ms,(forall ((a Nat) (b Nat))(= (= (nmax a b) b) (leq a b))) ; G25
goal26.smt2,success,24.61 ms,(forall ((x Nat) (l Lst) (t Lst)) (=> (mem x l) (mem x (append l t)))) ; G26
goal27.smt2,success,10.80 ms,(forall ((x Nat) (l Lst) (t Lst)) (=> (mem x t) (mem x (append l t)))) ; G27
goal28.smt2,success,6.73 ms,(forall ((x Nat) (l Lst)) (mem x (append l (cons x nil)))) ; G28
