name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
synduce-constraints-memo-proper_indexation_sum_lt_pos,Valid,57126.547,15,8,7,Unknown,0,0,0,0
synduce-list-sumhom,Valid,471.91537,18,4,3,Unknown,0,0,0,0
autolifter-single-pass-0after1,Valid,2756.507,31,31,11,Unknown,0,0,0,0
autolifter-single-pass-mts,Valid,13835.604,14,6,5,Unknown,0,0,0,0
synduce-list-mincount,Timeout,60010.043,210,157,4,Unknown,0,0,0,0
synduce-list-line_of_sight,Timeout,60064.293,157,130,4,Unknown,0,0,0,0
fusion-tupling-page8,Timeout,60070.965,6,4,4,Unknown,0,0,0,0
synduce-tree-maxtree,Timeout,60378.28,120,79,8,Unknown,0,0,0,0
autolifter-single-pass-0s1s,Valid,17843.467,39,31,8,Unknown,0,0,0,0
autolifter-single-pass-atoi,Invalid,12259.662,2,2,2,Unknown,0,0,0,0
synduce-tree-minmax,Timeout,62213.293,67,54,16,Unknown,0,0,0,0
synduce-combine-mss_with_sum,Valid,32434.55,81,51,14,Unknown,0,0,0,0
autolifter-single-pass-cnt1s,Timeout,60091.87,236,154,4,Unknown,0,0,0,0
fusion-deforestation-page7-2,Valid,10.401224,0,0,0,Unknown,0,0,0,0
synduce-list-mtshom,Timeout,60664.02,115,82,20,Unknown,0,0,0,0
synduce-zipper-list_sum,Valid,51990.934,102,46,26,Unknown,0,0,0,0
synduce-constraints-all_positive-list_mps,Timeout,68138.48,131,61,11,Unknown,0,0,0,0
synduce-constraints-all_positive-sndmin,Valid,54579.406,32,22,8,Unknown,0,0,0,0
synduce-combine-mts,Timeout,66018.23,55,49,13,Unknown,0,0,0,0
synduce-unimodal_lists-sum,Timeout,63030.617,99,52,10,Unknown,0,0,0,0
synduce-tree-sorted,Timeout,110510.39,41,39,6,Unknown,0,0,0,0
synduce-constraints-sortedlist-parallel_max2,Timeout,60180.773,211,164,10,Unknown,0,0,0,0
synduce-constraints-memo-tree_size,Timeout,60106.24,346,301,5,Unknown,0,0,0,0
synduce-list-issorted,Timeout,60157.914,201,150,15,Unknown,0,0,0,0
synduce-list-slsp,Timeout,60609.332,119,80,21,Unknown,0,0,0,0
synduce-list_to_tree-mls,Timeout,60841.406,157,123,24,Unknown,0,0,0,0
synduce-treepaths-maxPathWeight,Timeout,60219.047,108,80,12,Unknown,0,0,0,0
synduce-misc-composed_unkwns,Valid,4493.996,62,11,5,Unknown,0,0,0,0
synduce-list-maxhom,Timeout,3280391.3,120,91,4,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_logn,Timeout,60307.555,188,129,9,Unknown,0,0,0,0
synduce-constraints-memo-mts_memo_sum,Timeout,62405.984,85,77,34,Unknown,0,0,0,0
fusion-algprog-ex3.13,Timeout,105283.62,58,37,7,Unknown,0,0,0,0
synduce-list-lenhom,Valid,2121.8213,28,13,7,Unknown,0,0,0,0
synduce-constraints-sortedlist-sndmind,Timeout,60121.6,156,103,10,Unknown,0,0,0,0
synduce-constraints-balanced_tree-height_v2,Timeout,60347.55,128,102,18,Unknown,0,0,0,0
synduce-constraints-sortedlist-nestedl_pyramid,Timeout,60106.43,130,109,11,Unknown,0,0,0,0
synduce-list-prodhom,Timeout,62878.973,11,6,5,Unknown,0,0,0,0
synduce-treepaths-maxPathWeight2,Timeout,60718.105,90,63,4,Unknown,0,0,0,0
synduce-tailopt-sum,Invalid,38387.934,46,12,3,Unknown,0,0,0,0
synduce-indexed_list-sum_elts_lt_pos,Valid,125.9106,9,3,3,Unknown,0,0,0,0
synduce-list-zeros_ones,Timeout,60492.51,186,152,12,Unknown,0,0,0,0
synduce-constraints-sortedlist-parallel_min,Timeout,60289.02,149,114,11,Unknown,0,0,0,0
synduce-constraints-sortedlist-parallel_max,Timeout,60253.082,227,179,17,Unknown,0,0,0,0
synduce-treepaths-height,Timeout,60356.555,126,94,4,Unknown,0,0,0,0
synduce-list-minhom,Timeout,60174.05,123,93,1,Unknown,0,0,0,0
autolifter-single-pass-dropwhile,Timeout,60014.17,181,1,1,Unknown,0,0,0,0
synduce-constraints-balanced_tree-node_count,Timeout,60063.816,216,161,14,Unknown,0,0,0,0
synduce-constraints-sortedlist-min,Timeout,60585.99,71,56,11,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_in_um_pos,Timeout,60414.285,161,108,34,Unknown,0,0,0,0
synduce-constraints-ensures-mts_no_ensures,Timeout,89004.79,105,67,14,Unknown,0,0,0,0
synduce-constraints-memo-count_lt,Timeout,60165.555,333,273,13,Unknown,0,0,0,0
synduce-constraints-memo-constant,Valid,38.705723,2,1,1,Unknown,0,0,0,0
autolifter-single-pass-mps,Valid,105.92433,15,10,5,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_logn_v2,Timeout,60066.71,188,164,17,Unknown,0,0,0,0
fusion-algprog-page60,Valid,1940.9417,40,20,3,Unknown,0,0,0,0
fusion-tupling-page1,Invalid,60205.438,31,6,5,Unknown,0,0,0,0
autolifter-single-pass-length,Valid,12.331387,1,0,0,Unknown,0,0,0,0
fusion-shortcut-page1,Valid,26.914886,4,3,3,Unknown,0,0,0,0
synduce-constraints-sortedlist-sndmax_empty_base_case,Timeout,61019.66,91,76,10,Unknown,0,0,0,0
synduce-list-mts_and_mps_hom,Timeout,61129.477,69,38,15,Unknown,0,0,0,0
synduce-tree-maxPathWeight,Timeout,60612.875,69,34,14,Unknown,0,0,0,0
synduce-list-zero_after_one,Timeout,61290.797,128,111,18,Unknown,0,0,0,0
synduce-tree-sumtree,Valid,552.71533,18,4,2,Unknown,0,0,0,0
synduce-constraints-bst-minimax_sim,Timeout,61450.117,81,62,11,Unknown,0,0,0,0
synduce-list-maxcount,Timeout,60061.637,267,212,33,Unknown,0,0,0,0
synduce-tree-maxtree2,Timeout,60310.848,133,93,8,Unknown,0,0,0,0
synduce-indexed_list-position_polynomial,Timeout,84692.586,22,10,8,Unknown,0,0,0,0
synduce-constraints-all_positive-sndmax,Timeout,70394.14,65,47,5,Unknown,0,0,0,0
synduce-constraints-balanced_tree-height,Timeout,60226,201,179,27,Unknown,0,0,0,0
autolifter-single-pass-longest1s,Timeout,60470.38,62,44,25,Unknown,0,0,0,0
autolifter-single-pass-max_len_1s,Timeout,60028.348,133,33,2,Unknown,0,0,0,0
synduce-list-last,Valid,2342.446,24,5,5,Unknown,0,0,0,0
synduce-nested_list-pyramid_intervals,Timeout,60279.813,186,152,11,Unknown,0,0,0,0
synduce-constraints-sortedlist-failing_slspplus,Timeout,61063.203,126,109,22,Unknown,0,0,0,0
autolifter-single-pass-mis,Timeout,60333.914,174,127,2,Unknown,0,0,0,0
synduce-tree-min,Timeout,60193.766,166,106,10,Unknown,0,0,0,0
fusion-algprog-ex3.14,Timeout,60792.508,143,127,4,Unknown,0,0,0,0
synduce-misc-simple_nnf,Valid,59.750507,4,3,3,Unknown,0,0,0,0
synduce-constraints-empty_right_subtree-sum,Timeout,60701.54,107,89,14,Unknown,0,0,0,0
