name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
optimize,Timeout,64207.49,32,26,5,Unknown,0,0,0,0
optimize,Valid,463.1017,18,4,3,Unknown,0,0,0,0
optimize,Valid,2639.484,31,31,11,Unknown,0,0,0,0
optimize,Valid,21806.512,31,19,5,Unknown,0,0,0,0
optimize,Timeout,60024.34,101,71,4,Unknown,0,0,0,0
optimize,Timeout,233557.33,30,28,3,Unknown,0,0,0,0
optimize,Timeout,60230.11,212,175,0,Unknown,0,0,0,0
optimize,Valid,38943.313,61,49,8,Unknown,0,0,0,0
optimize,Invalid,11729.483,2,2,2,Unknown,0,0,0,0
optimize,Timeout,60243.65,142,92,7,Unknown,0,0,0,0
optimize,Timeout,60060.69,286,72,7,Unknown,0,0,0,0
optimize,Valid,11.054626,0,0,0,Unknown,0,0,0,0
optimize,Timeout,63906.03,8,5,2,Unknown,0,0,0,0
optimize,Valid,54031.863,102,46,26,Unknown,0,0,0,0
optimize,Valid,1294.5314,23,10,4,Unknown,0,0,0,0
optimize,Timeout,88142.42,15,14,3,Unknown,0,0,0,0
optimize,Timeout,60163.297,144,106,2,Unknown,0,0,0,0
optimize,Timeout,60394.336,147,64,9,Unknown,0,0,0,0
optimize,Timeout,65858.586,8,5,2,Unknown,0,0,0,0
optimize,Timeout,121348.54,28,26,6,Unknown,0,0,0,0
optimize,Timeout,60261.46,138,91,5,Unknown,0,0,0,0
optimize,Timeout,60141.66,386,328,5,Unknown,0,0,0,0
optimize,Timeout,60090.246,186,125,18,Unknown,0,0,0,0
optimize,Timeout,67471.69,10,3,1,Unknown,0,0,0,0
optimize,Valid,4168.4263,62,11,5,Unknown,0,0,0,0
optimize,Timeout,60137.652,270,210,0,Unknown,0,0,0,0
optimize,Timeout,60310.19,202,158,10,Unknown,0,0,0,0
optimize,Timeout,60075.645,192,137,10,Unknown,0,0,0,0
optimize,Timeout,101288.445,58,37,7,Unknown,0,0,0,0
optimize,Valid,362.44733,17,9,5,Unknown,0,0,0,0
optimize,Timeout,60076.074,114,113,3,Unknown,0,0,0,0
optimize,Timeout,329390.94,209,203,11,Unknown,0,0,0,0
optimize,Timeout,60354.746,245,200,5,Unknown,0,0,0,0
optimize,Timeout,60262.117,16,5,3,Unknown,0,0,0,0
optimize,Timeout,60206.082,161,80,1,Unknown,0,0,0,0
optimize,Invalid,40002.81,46,12,3,Unknown,0,0,0,0
optimize,Valid,125.65522,8,3,3,Unknown,0,0,0,0
optimize,Timeout,60079.87,188,148,14,Unknown,0,0,0,0
optimize,Timeout,60340.25,115,74,6,Unknown,0,0,0,0
optimize,Timeout,61271.633,52,45,6,Unknown,0,0,0,0
optimize,Timeout,60880.41,128,102,7,Unknown,0,0,0,0
optimize,Timeout,60063.73,332,247,1,Unknown,0,0,0,0
optimize,Timeout,60032.13,274,207,0,Unknown,0,0,0,0
optimize,Timeout,60067.004,188,13,1,Unknown,0,0,0,0
optimize,Timeout,60227.69,442,404,8,Unknown,0,0,0,0
optimize,Timeout,60851.473,268,245,4,Unknown,0,0,0,0
optimize,Timeout,60441.953,119,102,12,Unknown,0,0,0,0
optimize,Timeout,62079.625,8,5,2,Unknown,0,0,0,0
optimize,Timeout,60466.684,150,125,6,Unknown,0,0,0,0
optimize,Valid,40.457523,2,1,1,Unknown,0,0,0,0
optimize,Valid,108.53641,15,10,5,Unknown,0,0,0,0
optimize,Timeout,60049.227,12,11,3,Unknown,0,0,0,0
optimize,Valid,196.5792,3,1,1,Unknown,0,0,0,0
optimize,Timeout,60017.07,10,8,2,Unknown,0,0,0,0
optimize,Valid,11.312282,1,0,0,Unknown,0,0,0,0
optimize,Valid,25.432076,4,3,3,Unknown,0,0,0,0
optimize,Timeout,64811.57,5,3,2,Unknown,0,0,0,0
optimize,Timeout,62348.17,18,10,2,Unknown,0,0,0,0
optimize,Timeout,60245.688,191,127,3,Unknown,0,0,0,0
optimize,Timeout,60624.906,129,112,15,Unknown,0,0,0,0
optimize,Valid,505.40793,17,4,2,Unknown,0,0,0,0
optimize,Timeout,101429.44,7,6,3,Unknown,0,0,0,0
optimize,Timeout,60238.16,183,143,0,Unknown,0,0,0,0
optimize,Timeout,88018.53,22,10,8,Unknown,0,0,0,0
optimize,Timeout,60179.164,264,168,6,Unknown,0,0,0,0
optimize,Timeout,143081.73,69,64,12,Unknown,0,0,0,0
optimize,Timeout,60079.03,111,76,2,Unknown,0,0,0,0
optimize,Timeout,63516.566,266,125,4,Unknown,0,0,0,0
optimize,Valid,2522.3223,25,5,5,Unknown,0,0,0,0
optimize,Timeout,60249.96,186,156,5,Unknown,0,0,0,0
optimize,Timeout,72309.125,4,1,1,Unknown,0,0,0,0
optimize,Timeout,60145.39,172,117,2,Unknown,0,0,0,0
optimize,Timeout,60277.23,212,175,0,Unknown,0,0,0,0
optimize,Timeout,198144.25,70,47,4,Unknown,0,0,0,0
optimize,Valid,63.19121,4,3,3,Unknown,0,0,0,0
optimize,Timeout,61617.152,117,101,17,Unknown,0,0,0,0
optimize,Timeout,61107.688,56,22,5,Unknown,0,0,0,0
optimize,Timeout,81382.88,7,6,3,Unknown,0,0,0,0
optimize,Timeout,63090.74,6,2,2,Unknown,0,0,0,0
optimize,Timeout,61828.957,27,27,3,Unknown,0,0,0,0
optimize,Timeout,60478.613,11,3,1,Unknown,0,0,0,0
optimize,Valid,147.6179,7,4,4,Unknown,0,0,0,0
optimize,Timeout,62256.22,9,3,1,Unknown,0,0,0,0
optimize,Valid,10.909356,1,0,0,Unknown,0,0,0,0
optimize,Valid,577.22974,4,1,1,Unknown,0,0,0,0
optimize,Timeout,60284.203,17,16,4,Unknown,0,0,0,0
optimize,Timeout,60184.035,89,82,5,Unknown,0,0,0,0
optimize,Timeout,60409.547,94,83,6,Unknown,0,0,0,0
optimize,Valid,3253.957,54,9,5,Unknown,0,0,0,0
optimize,Timeout,60073.473,54,43,11,Unknown,0,0,0,0
