,,,time,stop_reasons,success,lemma_count,failed_proof_count,proofs_later_filtered,file_name
no expl proofs,isaplanner,0,0.0011764730000000001,[],True,0,0,0,goal12.smt2.stats.json
no expl proofs,isaplanner,1,0.005617961,[],True,0,0,0,goal28.smt2.stats.json
no expl proofs,isaplanner,2,0.0020854240000000002,[],True,0,0,0,goal39.smt2.stats.json
no expl proofs,isaplanner,3,0.098150547,[],True,0,0,0,goal81.smt2.stats.json
no expl proofs,isaplanner,4,0.015482531,[],True,0,0,0,goal19.smt2.stats.json
no expl proofs,isaplanner,5,37.373909835,['IterationLimit'],False,8,9,4,goal69.smt2.stats.json
no expl proofs,isaplanner,6,0.0031267,[],True,0,0,0,goal85.smt2.stats.json
no expl proofs,isaplanner,7,64.631006549,['IterationLimit'],False,8,41,1,goal32.smt2.stats.json
no expl proofs,isaplanner,8,42.679352136,['IterationLimit'],False,7,12,0,goal68.smt2.stats.json
no expl proofs,isaplanner,9,0.004531961,[],True,0,0,0,goal7.smt2.stats.json
no expl proofs,isaplanner,10,0.00043204100000000003,[],True,0,0,0,goal42.smt2.stats.json
no expl proofs,isaplanner,11,0.6054888890000001,[],True,0,0,0,goal64.smt2.stats.json
no expl proofs,isaplanner,12,0.025511918,['Saturated'],True,1,0,0,goal60.smt2.stats.json
no expl proofs,isaplanner,13,0.001792029,[],True,0,0,0,goal2.smt2.stats.json
no expl proofs,isaplanner,14,265.280016036,"['IterationLimit', 'Saturated']",False,7,12,0,goal52.smt2.stats.json
no expl proofs,isaplanner,15,0.0016448530000000002,[],True,0,0,0,goal38.smt2.stats.json
no expl proofs,isaplanner,16,96.10143993,['IterationLimit'],False,7,0,1,goal79.smt2.stats.json
no expl proofs,isaplanner,17,65.143101064,['IterationLimit'],False,8,39,1,goal34.smt2.stats.json
no expl proofs,isaplanner,18,0.0049031840000000005,[],True,0,0,0,goal82.smt2.stats.json
no expl proofs,isaplanner,19,8.029318896,"['IterationLimit', 'Saturated']",False,4,1,1,goal61.smt2.stats.json
no expl proofs,isaplanner,20,91.518460384,['IterationLimit'],False,7,0,2,goal80.smt2.stats.json
no expl proofs,isaplanner,21,0.150767703,[],True,0,0,0,goal8.smt2.stats.json
no expl proofs,isaplanner,22,0.000280242,[],True,0,0,0,goal46.smt2.stats.json
no expl proofs,isaplanner,23,0.012129836000000001,[],True,0,0,0,goal30.smt2.stats.json
no expl proofs,isaplanner,24,0.0048125830000000005,[],True,0,0,0,goal56.smt2.stats.json
no expl proofs,isaplanner,25,0.001673481,[],True,0,0,0,goal14.smt2.stats.json
no expl proofs,isaplanner,26,0.00027446100000000004,[],True,0,0,0,goal40.smt2.stats.json
no expl proofs,isaplanner,27,0.002261242,[],True,0,0,0,goal48.smt2.stats.json
no expl proofs,isaplanner,28,0.000867329,[],True,0,0,0,goal1.smt2.stats.json
no expl proofs,isaplanner,29,0.00047894500000000004,[],True,0,0,0,goal45.smt2.stats.json
no expl proofs,isaplanner,30,0.001982565,[],True,0,0,0,goal77.smt2.stats.json
no expl proofs,isaplanner,31,60.38689806,['IterationLimit'],True,4,0,0,goal54.smt2.stats.json
no expl proofs,isaplanner,32,32.746026503,[],True,0,0,0,goal63.smt2.stats.json
no expl proofs,isaplanner,33,138.251005828,"['IterationLimit', 'NodeLimit', 'Saturated']",False,16,22,17,goal87.smt2.stats.json
no expl proofs,isaplanner,34,0.002040239,[],True,0,0,0,goal10.smt2.stats.json
no expl proofs,isaplanner,35,103.813000827,['IterationLimit'],False,9,16,7,goal23.smt2.stats.json
no expl proofs,isaplanner,36,8.073259299,"['IterationLimit', 'Saturated']",False,4,1,1,goal62.smt2.stats.json
no expl proofs,isaplanner,37,0.005137546000000001,[],True,0,0,0,goal17.smt2.stats.json
no expl proofs,isaplanner,38,192.489979541,['IterationLimit'],False,4,2,0,goal26.smt2.stats.json
no expl proofs,isaplanner,39,63.661856702,['IterationLimit'],False,8,40,2,goal33.smt2.stats.json
no expl proofs,isaplanner,40,15.003779474,"['IterationLimit', 'Saturated']",False,4,4,0,goal51.smt2.stats.json
no expl proofs,isaplanner,41,0.029786233000000002,[],True,0,0,0,goal18.smt2.stats.json
no expl proofs,isaplanner,42,15.003759821,"['IterationLimit', 'Saturated']",False,4,2,2,goal49.smt2.stats.json
no expl proofs,isaplanner,43,2.5577260280000003,"['IterationLimit', 'Saturated']",False,6,5,0,goal75.smt2.stats.json
no expl proofs,isaplanner,44,0.004546097000000001,[],True,0,0,0,goal29.smt2.stats.json
no expl proofs,isaplanner,45,4.598368429,['IterationLimit'],False,5,0,1,goal71.smt2.stats.json
no expl proofs,isaplanner,46,0.0013572500000000002,[],True,0,0,0,goal41.smt2.stats.json
no expl proofs,isaplanner,47,0.0011605180000000001,[],True,0,0,0,goal37.smt2.stats.json
no expl proofs,isaplanner,48,0.0017570600000000002,[],True,0,0,0,goal5.smt2.stats.json
no expl proofs,isaplanner,49,0.003987813000000001,[],True,0,0,0,goal15.smt2.stats.json
no expl proofs,isaplanner,50,68.965643436,['IterationLimit'],False,8,39,2,goal31.smt2.stats.json
no expl proofs,isaplanner,51,0.003219364,[],True,0,0,0,goal86.smt2.stats.json
no expl proofs,isaplanner,52,23.491586439,['IterationLimit'],True,6,1,0,goal20.smt2.stats.json
no expl proofs,isaplanner,53,1.157507719,['Saturated'],False,2,1,0,goal44.smt2.stats.json
no expl proofs,isaplanner,54,65.93956456,['IterationLimit'],False,8,16,6,goal22.smt2.stats.json
no expl proofs,isaplanner,55,0.0007180740000000001,[],True,0,0,0,goal4.smt2.stats.json
