name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,51.319256,3,2,2,Unknown,0,0,0,0
clam_2,Valid,306.14136,3,2,2,Unknown,0,0,0,0
clam_3,Valid,38.11726,0,0,0,Unknown,0,0,0,0
clam_4,Valid,211.70201,3,1,1,Unknown,0,0,0,0
clam_5,Valid,40.047062,1,1,1,Unknown,0,0,0,0
clam_6,Valid,107.97074,1,1,1,Unknown,0,0,0,0
clam_7,Valid,60.14651,2,1,1,Unknown,0,0,0,0
clam_8,Valid,316.89618,6,2,2,Unknown,0,0,0,0
clam_9,Valid,362.3579,7,3,3,Unknown,0,0,0,0
clam_10,Valid,39.096497,1,1,1,Unknown,0,0,0,0
clam_11,Valid,3235.6443,12,6,6,Unknown,0,0,0,0
clam_12,Valid,116.42084,1,1,1,Unknown,0,0,0,0
clam_13,Valid,105.747055,5,4,1,Unknown,0,0,0,0
clam_14,Timeout,60178.887,152,118,8,Unknown,0,0,0,0
clam_15,Valid,13.615833,1,1,1,Unknown,0,0,0,0
clam_16,Valid,34.693974,3,2,2,Unknown,0,0,0,0
clam_17,Valid,226.68823,4,3,3,Unknown,0,0,0,0
clam_18,Valid,3275.6794,13,7,7,Unknown,0,0,0,0
clam_19,Valid,255.60316,5,3,3,Unknown,0,0,0,0
clam_20,Valid,402.36734,5,2,2,Unknown,0,0,0,0
clam_21,Timeout,61012.51,26,17,1,Unknown,0,0,0,0
clam_22,Valid,367.0085,5,4,4,Unknown,0,0,0,0
clam_23,Valid,341.19574,5,4,4,Unknown,0,0,0,0
clam_24,Valid,49.276314,3,2,2,Unknown,0,0,0,0
clam_25,Valid,40.255077,1,1,1,Unknown,0,0,0,0
clam_26,Valid,42.451416,3,2,2,Unknown,0,0,0,0
clam_27,Valid,394.7314,6,4,4,Unknown,0,0,0,0
clam_28,Valid,2307.9976,6,3,3,Unknown,0,0,0,0
clam_29,Timeout,60383.44,62,3,3,Unknown,0,0,0,0
clam_30,Valid,134.56322,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,60352.734,96,0,0,Unknown,0,0,0,0
clam_32,Timeout,60084.37,259,128,0,Unknown,0,0,0,0
clam_33,Timeout,60738.53,25,11,6,Unknown,0,0,0,0
clam_34,Valid,349.50192,12,11,2,Unknown,0,0,0,0
clam_35,Valid,34861.555,10,9,3,Unknown,0,0,0,0
clam_36,Valid,53.107315,0,0,0,Unknown,0,0,0,0
clam_37,Valid,44.238533,0,0,0,Unknown,0,0,0,0
clam_38,Valid,74.691734,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,60113.168,196,120,21,Unknown,0,0,0,0
clam_41,Timeout,60031.22,112,89,12,Unknown,0,0,0,0
clam_42,Timeout,60119.742,26,18,1,Unknown,0,0,0,0
clam_43,Valid,740.99475,5,5,0,Unknown,0,0,0,0
clam_44,Timeout,60423.715,162,141,4,Unknown,0,0,0,0
clam_45,Valid,95.12877,5,5,2,Unknown,0,0,0,0
clam_46,Valid,224.85597,3,3,1,Unknown,0,0,0,0
clam_47,Valid,297.5439,3,3,0,Unknown,0,0,0,0
clam_48,Valid,454.90027,5,1,1,Unknown,0,0,0,0
clam_49,Timeout,69627.92,60,45,1,Unknown,0,0,0,0
clam_50,Timeout,60254.38,107,103,4,Unknown,0,0,0,0
clam_75,Valid,119.47099,1,1,1,Unknown,0,0,0,0
clam_76,Valid,721.28345,1,1,1,Unknown,0,0,0,0
clam_77,Valid,277.4813,2,2,2,Unknown,0,0,0,0
clam_78,Timeout,64875.113,47,4,4,Unknown,0,0,0,0
clam_79,Valid,4935.907,16,14,14,Unknown,0,0,0,0
clam_80,Valid,4258.408,12,7,7,Unknown,0,0,0,0
clam_81,Valid,1155.4216,4,4,4,Unknown,0,0,0,0
clam_82,Valid,815.7517,5,3,3,Unknown,0,0,0,0
clam_83,Timeout,61110.08,26,17,1,Unknown,0,0,0,0
clam_84,Timeout,60221.754,15,8,6,Unknown,0,0,0,0
clam_85,Valid,857.7788,6,4,4,Unknown,0,0,0,0
clam_86,Timeout,66931.125,35,27,7,Unknown,0,0,0,0
