name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
goal_01,Valid,46.03126,1,1,0,Unknown,0,0,0,0
goal_02,Valid,92.33334,0,0,0,Unknown,0,0,0,0
goal_03,Valid,86.64691,0,0,0,Unknown,0,0,0,0
goal_04,Valid,79.735016,4,2,1,Unknown,0,0,0,0
goal_05,Valid,129.11215,4,3,1,Unknown,0,0,0,0
goal_06,Valid,6.571697,0,0,0,Unknown,0,0,0,0
goal_07,Valid,5.891629,0,0,0,Unknown,0,0,0,0
goal_08,Valid,8.525178,0,0,0,Unknown,0,0,0,0
goal_09,Valid,23.82605,1,0,0,Unknown,0,0,0,0
goal_10,Valid,4.044127,0,0,0,Unknown,0,0,0,0
goal_11,Valid,5.327918,0,0,0,Unknown,0,0,0,0
goal_12,Valid,18.136288,0,0,0,Unknown,0,0,0,0
goal_13,Valid,10.816608,0,0,0,Unknown,0,0,0,0
goal_14,Valid,33.81328,0,0,0,Unknown,0,0,0,0
goal_15,Valid,66.212875,0,0,0,Unknown,0,0,0,0
goal_16,Valid,11.129274,0,0,0,Unknown,0,0,0,0
goal_17,Valid,4.874479,0,0,0,Unknown,0,0,0,0
goal_18,Valid,3.795333,0,0,0,Unknown,0,0,0,0
goal_19,Valid,25.648764,1,0,0,Unknown,0,0,0,0
goal_20,Valid,332.92206,5,1,1,Unknown,0,0,0,0
goal_21,Valid,3.324138,0,0,0,Unknown,0,0,0,0
goal_22,Valid,13.839634,1,0,0,Unknown,0,0,0,0
goal_23,Valid,7.666714,1,0,0,Unknown,0,0,0,0
goal_24,Valid,15.081664,1,0,0,Unknown,0,0,0,0
goal_25,Valid,14.168521,1,0,0,Unknown,0,0,0,0
goal_26,Valid,39.935192,0,0,0,Unknown,0,0,0,0
goal_27,Valid,33.07571,0,0,0,Unknown,0,0,0,0
goal_28,Valid,53.506714,5,5,2,Unknown,0,0,0,0
goal_29,Valid,40.03537,2,2,1,Unknown,0,0,0,0
goal_30,Valid,66.88138,5,5,2,Unknown,0,0,0,0
goal_31,Valid,41.84041,9,6,1,Unknown,0,0,0,0
goal_32,Valid,7.9631524,1,0,0,Unknown,0,0,0,0
goal_33,Valid,11.725218,1,0,0,Unknown,0,0,0,0
goal_34,Valid,14.84297,1,0,0,Unknown,0,0,0,0
goal_35,Valid,6.867875,0,0,0,Unknown,0,0,0,0
goal_36,Valid,7.819206,0,0,0,Unknown,0,0,0,0
goal_37,Valid,26.127605,0,0,0,Unknown,0,0,0,0
goal_38,Valid,52.83623,0,0,0,Unknown,0,0,0,0
goal_39,Valid,14.308442,0,0,0,Unknown,0,0,0,0
goal_40,Valid,2.541076,0,0,0,Unknown,0,0,0,0
goal_41,Valid,9.783985,0,0,0,Unknown,0,0,0,0
goal_42,Valid,6.889954,0,0,0,Unknown,0,0,0,0
goal_43,Valid,5.290972,0,0,0,Unknown,0,0,0,0
goal_44,Valid,10.921636,0,0,0,Unknown,0,0,0,0
goal_45,Valid,8.492153,0,0,0,Unknown,0,0,0,0
goal_46,Valid,2.488959,0,0,0,Unknown,0,0,0,0
goal_47,Valid,53.920624,3,1,1,Unknown,0,0,0,0
goal_48,Valid,14.429803,0,0,0,Unknown,0,0,0,0
goal_49,Valid,118.5168,4,4,1,Unknown,0,0,0,0
goal_50,Valid,15.909897,0,0,0,Unknown,0,0,0,0
goal_51,Valid,16.653252,1,1,0,Unknown,0,0,0,0
goal_52,Timeout,60273.48,92,78,3,Unknown,0,0,0,0
goal_53,Timeout,60296.742,122,112,4,Unknown,0,0,0,0
goal_54,Valid,34.369633,6,4,1,Unknown,0,0,0,0
goal_55,Valid,21.890165,1,0,0,Unknown,0,0,0,0
goal_56,Valid,26.304792,0,0,0,Unknown,0,0,0,0
goal_57,Valid,1483.0842,9,9,9,Unknown,0,0,0,0
goal_58,Valid,68.41344,5,4,2,Unknown,0,0,0,0
goal_59,Valid,73.98748,2,1,0,Unknown,0,0,0,0
goal_60,Valid,22.410637,0,0,0,Unknown,0,0,0,0
goal_61,Valid,86.04291,3,3,0,Unknown,0,0,0,0
goal_62,Valid,416.65115,18,17,2,Unknown,0,0,0,0
goal_63,Valid,7.0938754,0,0,0,Unknown,0,0,0,0
goal_64,Valid,32.828632,0,0,0,Unknown,0,0,0,0
goal_65,Valid,17.703865,1,1,0,Unknown,0,0,0,0
goal_66,Valid,10.033247,1,1,1,Unknown,0,0,0,0
goal_67,Timeout,60037.496,0,0,0,Unknown,0,0,0,0
goal_68,Valid,13.617257,0,0,0,Unknown,0,0,0,0
goal_69,Timeout,60150.26,276,215,0,Unknown,0,0,0,0
goal_70,Valid,15.358888,2,2,1,Unknown,0,0,0,0
goal_71,Valid,4.303229,0,0,0,Unknown,0,0,0,0
