name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,15.370931,3,1,1,Unknown,0,0,0,0
clam_2,Valid,79.14337,3,2,2,Unknown,0,0,0,0
clam_3,Valid,8.54138,0,0,0,Unknown,0,0,0,0
clam_4,Valid,78.77678,3,1,1,Unknown,0,0,0,0
clam_5,Valid,18.127672,1,1,1,Unknown,0,0,0,0
clam_6,Valid,78.5713,2,2,2,Unknown,0,0,0,0
clam_7,Valid,29.968605,2,1,1,Unknown,0,0,0,0
clam_8,Valid,156.37822,6,2,2,Unknown,0,0,0,0
clam_9,Valid,297.86084,19,9,2,Unknown,0,0,0,0
clam_10,Valid,19.04937,1,1,1,Unknown,0,0,0,0
clam_11,Valid,1542.7952,12,7,7,Unknown,0,0,0,0
clam_12,Valid,61.0018,1,1,1,Unknown,0,0,0,0
clam_13,Valid,61.85804,7,5,1,Unknown,0,0,0,0
clam_14,Timeout,5005.2886,17,16,3,Unknown,0,0,0,0
clam_15,Valid,5.999746,1,1,1,Unknown,0,0,0,0
clam_16,Invalid,1109.1561,5,3,1,Unknown,0,0,0,0
clam_17,Valid,107.69944,5,2,2,Unknown,0,0,0,0
clam_18,Valid,2416.3223,20,8,8,Unknown,0,0,0,0
clam_19,Valid,142.34424,5,3,3,Unknown,0,0,0,0
clam_20,Timeout,5019.777,5,1,1,Unknown,0,0,0,0
clam_21,Timeout,5025.782,63,45,1,Unknown,0,0,0,0
clam_22,Valid,161.76047,5,4,4,Unknown,0,0,0,0
clam_23,Valid,104.692505,3,3,3,Unknown,0,0,0,0
clam_24,Valid,22.091618,3,2,2,Unknown,0,0,0,0
clam_25,Valid,20.917084,1,1,1,Unknown,0,0,0,0
clam_26,Valid,17.487171,3,2,2,Unknown,0,0,0,0
clam_27,Valid,146.99236,4,4,4,Unknown,0,0,0,0
clam_28,Valid,1379.804,5,3,3,Unknown,0,0,0,0
clam_29,Timeout,5070.7827,23,0,0,Unknown,0,0,0,0
clam_30,Valid,53.406372,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,5001.019,32,0,0,Unknown,0,0,0,0
clam_32,Timeout,5011.0796,89,53,0,Unknown,0,0,0,0
clam_33,Timeout,5685.1577,1,0,0,Unknown,0,0,0,0
clam_34,Valid,90.97383,10,9,1,Unknown,0,0,0,0
clam_35,Timeout,5110.2046,0,0,0,Unknown,0,0,0,0
clam_36,Valid,29.043533,0,0,0,Unknown,0,0,0,0
clam_37,Valid,18.505623,0,0,0,Unknown,0,0,0,0
clam_38,Valid,30.6292,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,5004.7183,93,62,23,Unknown,0,0,0,0
clam_41,Timeout,5010.1816,87,71,9,Unknown,0,0,0,0
clam_42,Timeout,5409.04,18,18,1,Unknown,0,0,0,0
clam_43,Valid,136.28644,0,0,0,Unknown,0,0,0,0
clam_44,Timeout,5011.226,31,30,3,Unknown,0,0,0,0
clam_45,Valid,38.1415,5,5,2,Unknown,0,0,0,0
clam_46,Valid,86.10182,6,6,2,Unknown,0,0,0,0
clam_47,Valid,100.67409,2,2,0,Unknown,0,0,0,0
clam_48,Valid,129.99489,3,1,1,Unknown,0,0,0,0
clam_49,Timeout,5020.3774,42,42,0,Unknown,0,0,0,0
clam_50,Timeout,5015.371,34,30,3,Unknown,0,0,0,0
clam_75,Valid,57.044525,1,1,1,Unknown,0,0,0,0
clam_76,Valid,406.8844,1,1,1,Unknown,0,0,0,0
clam_77,Valid,198.66205,3,2,2,Unknown,0,0,0,0
clam_78,Timeout,5010.1865,31,3,3,Unknown,0,0,0,0
clam_79,Valid,2664.0735,20,8,8,Unknown,0,0,0,0
clam_80,Valid,1691.8445,11,6,6,Unknown,0,0,0,0
clam_81,Valid,602.74927,4,4,4,Unknown,0,0,0,0
clam_82,Invalid,2616.6257,4,2,2,Unknown,0,0,0,0
clam_83,Timeout,5030.5493,64,45,1,Unknown,0,0,0,0
clam_84,Timeout,5221.932,0,0,0,Unknown,0,0,0,0
clam_85,Timeout,6385.984,10,6,4,Unknown,0,0,0,0
clam_86,Timeout,6269.2524,3,1,1,Unknown,0,0,0,0
