name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,16.2069,3,1,1,Unknown,0,0,0,0
clam_2,Valid,79.31485,3,2,2,Unknown,0,0,0,0
clam_3,Valid,8.080551,0,0,0,Unknown,0,0,0,0
clam_4,Valid,86.32363,3,1,1,Unknown,0,0,0,0
clam_5,Valid,20.58217,1,1,1,Unknown,0,0,0,0
clam_6,Valid,41.487705,1,1,1,Unknown,0,0,0,0
clam_7,Valid,32.68485,2,1,1,Unknown,0,0,0,0
clam_8,Valid,88.59992,6,2,2,Unknown,0,0,0,0
clam_9,Valid,257.77036,7,3,3,Unknown,0,0,0,0
clam_10,Valid,20.39103,1,1,1,Unknown,0,0,0,0
clam_11,Valid,1543.2827,12,7,7,Unknown,0,0,0,0
clam_12,Valid,78.87348,1,1,1,Unknown,0,0,0,0
clam_13,Valid,60.687717,7,5,1,Unknown,0,0,0,0
clam_14,Timeout,5014.697,50,37,4,Unknown,0,0,0,0
clam_15,Valid,5.963297,1,1,1,Unknown,0,0,0,0
clam_16,Valid,16.042627,3,2,2,Unknown,0,0,0,0
clam_17,Valid,112.710304,5,3,3,Unknown,0,0,0,0
clam_18,Valid,1584.1982,13,7,7,Unknown,0,0,0,0
clam_19,Valid,143.35118,5,3,3,Unknown,0,0,0,0
clam_20,Valid,207.09244,5,2,2,Unknown,0,0,0,0
clam_21,Timeout,5026.975,23,15,1,Unknown,0,0,0,0
clam_22,Valid,184.83366,5,4,4,Unknown,0,0,0,0
clam_23,Valid,163.33719,5,4,4,Unknown,0,0,0,0
clam_24,Valid,22.269173,3,2,2,Unknown,0,0,0,0
clam_25,Valid,20.39114,1,1,1,Unknown,0,0,0,0
clam_26,Valid,18.707996,3,2,2,Unknown,0,0,0,0
clam_27,Valid,174.11623,6,4,4,Unknown,0,0,0,0
clam_28,Valid,1458.9258,10,3,3,Unknown,0,0,0,0
clam_29,Timeout,5172.7905,28,2,2,Unknown,0,0,0,0
clam_30,Valid,51.49327,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,5075.484,41,0,0,Unknown,0,0,0,0
clam_32,Timeout,5012.46,97,49,0,Unknown,0,0,0,0
clam_33,Timeout,5713.6504,1,0,0,Unknown,0,0,0,0
clam_34,Timeout,6627.5454,13,12,3,Unknown,0,0,0,0
clam_35,Timeout,6121.8657,0,0,0,Unknown,0,0,0,0
clam_36,Valid,24.269989,0,0,0,Unknown,0,0,0,0
clam_37,Valid,22.97328,0,0,0,Unknown,0,0,0,0
clam_38,Valid,32.321472,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,5031.318,98,66,16,Unknown,0,0,0,0
clam_41,Timeout,6236.2637,69,59,8,Unknown,0,0,0,0
clam_42,Timeout,8029.914,6,6,1,Unknown,0,0,0,0
clam_43,Valid,345.7715,4,4,1,Unknown,0,0,0,0
clam_44,Timeout,5125.467,70,64,4,Unknown,0,0,0,0
clam_45,Valid,47.092625,5,5,2,Unknown,0,0,0,0
clam_46,Valid,70.15176,3,3,1,Unknown,0,0,0,0
clam_47,Valid,145.65024,6,6,0,Unknown,0,0,0,0
clam_48,Valid,213.53307,5,1,1,Unknown,0,0,0,0
clam_49,Timeout,5006.3735,83,60,0,Unknown,0,0,0,0
clam_50,Timeout,5278.597,35,35,3,Unknown,0,0,0,0
clam_75,Valid,59.360554,1,1,1,Unknown,0,0,0,0
clam_76,Valid,295.6312,1,1,1,Unknown,0,0,0,0
clam_77,Valid,225.3157,3,2,2,Unknown,0,0,0,0
clam_78,Timeout,5077.1855,29,3,3,Unknown,0,0,0,0
clam_79,Valid,2236.3115,13,7,7,Unknown,0,0,0,0
clam_80,Valid,1966.4275,11,6,6,Unknown,0,0,0,0
clam_81,Valid,512.7845,4,4,4,Unknown,0,0,0,0
clam_82,Valid,321.624,5,3,3,Unknown,0,0,0,0
clam_83,Timeout,5038.2065,23,15,1,Unknown,0,0,0,0
clam_84,Timeout,6231.3374,2,1,1,Unknown,0,0,0,0
clam_85,Valid,366.7684,6,4,4,Unknown,0,0,0,0
clam_86,Timeout,5286.9717,4,1,1,Unknown,0,0,0,0
