name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,13.24975,3,2,2,Unknown,0,0,0,0
clam_2,Valid,92.57708,3,2,2,Unknown,0,0,0,0
clam_3,Valid,8.154416,0,0,0,Unknown,0,0,0,0
clam_4,Valid,82.536415,3,2,2,Unknown,0,0,0,0
clam_5,Valid,27.71525,1,1,1,Unknown,0,0,0,0
clam_6,Valid,52.94854,1,1,1,Unknown,0,0,0,0
clam_7,Valid,83.55454,5,4,4,Unknown,0,0,0,0
clam_8,Valid,82.95959,4,2,2,Unknown,0,0,0,0
clam_9,Valid,89.7825,5,2,2,Unknown,0,0,0,0
clam_10,Valid,30.107958,1,1,1,Unknown,0,0,0,0
clam_11,Timeout,5028.2646,34,5,4,Unknown,0,0,0,0
clam_12,Valid,68.17321,1,1,1,Unknown,0,0,0,0
clam_13,Valid,15.654083,4,4,1,Unknown,0,0,0,0
clam_14,Timeout,5025.4893,47,37,5,Unknown,0,0,0,0
clam_15,Valid,4.480625,1,1,1,Unknown,0,0,0,0
clam_16,Valid,13.071834,3,3,3,Unknown,0,0,0,0
clam_17,Valid,101.39321,4,2,2,Unknown,0,0,0,0
clam_18,Timeout,5009.5156,36,3,3,Unknown,0,0,0,0
clam_19,Valid,140.65213,5,4,4,Unknown,0,0,0,0
clam_20,Valid,168.65895,5,5,5,Unknown,0,0,0,0
clam_21,Timeout,5020.775,59,27,1,Unknown,0,0,0,0
clam_22,Valid,217.63858,10,7,7,Unknown,0,0,0,0
clam_23,Valid,214.97256,10,7,7,Unknown,0,0,0,0
clam_24,Valid,10.347916,2,2,2,Unknown,0,0,0,0
clam_25,Valid,16.790333,1,1,1,Unknown,0,0,0,0
clam_26,Valid,9.945167,2,2,2,Unknown,0,0,0,0
clam_27,Valid,224.90158,6,4,4,Unknown,0,0,0,0
clam_28,Timeout,5013.331,20,1,0,Unknown,0,0,0,0
clam_29,Valid,598.9589,13,10,10,Unknown,0,0,0,0
clam_30,Valid,71.089584,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,5087.121,38,0,0,Unknown,0,0,0,0
clam_32,Timeout,5004.058,42,19,0,Unknown,0,0,0,0
clam_33,Timeout,7980.784,2,0,0,Unknown,0,0,0,0
clam_34,Valid,282.82266,7,5,5,Unknown,0,0,0,0
clam_35,Timeout,7657.607,3,3,2,Unknown,0,0,0,0
clam_36,Valid,23.469877,0,0,0,Unknown,0,0,0,0
clam_37,Valid,24.719501,0,0,0,Unknown,0,0,0,0
clam_38,Valid,68.263664,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,5016.122,93,62,15,Unknown,0,0,0,0
clam_41,Timeout,5040.503,96,75,17,Unknown,0,0,0,0
clam_42,Timeout,5001.0527,5,5,1,Unknown,0,0,0,0
clam_43,Valid,936.7682,4,4,1,Unknown,0,0,0,0
clam_44,Timeout,5004.5063,66,53,5,Unknown,0,0,0,0
clam_45,Valid,46.310753,3,3,1,Unknown,0,0,0,0
clam_46,Valid,213.20029,1,1,0,Unknown,0,0,0,0
clam_47,Valid,305.90274,6,6,0,Unknown,0,0,0,0
clam_48,Valid,277.85815,4,3,3,Unknown,0,0,0,0
clam_49,Timeout,5021.8853,52,36,1,Unknown,0,0,0,0
clam_50,Timeout,8621.994,15,15,3,Unknown,0,0,0,0
clam_75,Valid,84.84017,1,1,1,Unknown,0,0,0,0
clam_76,Valid,2530.716,7,3,3,Unknown,0,0,0,0
clam_77,Timeout,5003.744,70,2,1,Unknown,0,0,0,0
clam_78,Timeout,5008.2905,49,4,4,Unknown,0,0,0,0
clam_79,Timeout,5044.921,33,3,3,Unknown,0,0,0,0
clam_80,Timeout,5044.8203,33,3,3,Unknown,0,0,0,0
clam_81,Timeout,5010.839,76,2,2,Unknown,0,0,0,0
clam_82,Timeout,5041.7305,43,25,25,Unknown,0,0,0,0
clam_83,Timeout,5020.9946,59,27,1,Unknown,0,0,0,0
clam_84,Timeout,5292.377,2,1,1,Unknown,0,0,0,0
clam_85,Valid,29.976086,2,2,2,Unknown,0,0,0,0
clam_86,Timeout,6929.904,4,1,1,Unknown,0,0,0,0
