name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,15.361467,3,2,2,Unknown,0,0,0,0
clam_2,Valid,76.171265,3,2,2,Unknown,0,0,0,0
clam_3,Valid,8.277478,0,0,0,Unknown,0,0,0,0
clam_4,Valid,89.39292,3,2,2,Unknown,0,0,0,0
clam_5,Valid,17.943218,1,1,1,Unknown,0,0,0,0
clam_6,Valid,44.817696,1,1,1,Unknown,0,0,0,0
clam_7,Valid,31.799194,2,1,1,Unknown,0,0,0,0
clam_8,Valid,74.88221,6,2,2,Unknown,0,0,0,0
clam_9,Valid,80.36279,7,2,2,Unknown,0,0,0,0
clam_10,Valid,17.616219,1,1,1,Unknown,0,0,0,0
clam_11,Valid,3702.8435,34,32,32,Unknown,0,0,0,0
clam_12,Valid,70.76597,1,1,1,Unknown,0,0,0,0
clam_13,Valid,26.611757,7,7,3,Unknown,0,0,0,0
clam_14,Timeout,5010.544,44,31,5,Unknown,0,0,0,0
clam_15,Valid,6.13988,1,1,1,Unknown,0,0,0,0
clam_16,Valid,16.678698,3,3,3,Unknown,0,0,0,0
clam_17,Valid,114.942276,5,4,4,Unknown,0,0,0,0
clam_18,Valid,3463.2908,35,33,33,Unknown,0,0,0,0
clam_19,Valid,143.71828,5,4,4,Unknown,0,0,0,0
clam_20,Valid,199.58893,5,5,5,Unknown,0,0,0,0
clam_21,Timeout,5135.1094,61,22,1,Unknown,0,0,0,0
clam_22,Valid,228.95389,7,6,6,Unknown,0,0,0,0
clam_23,Valid,227.48247,7,6,6,Unknown,0,0,0,0
clam_24,Valid,19.87465,2,2,2,Unknown,0,0,0,0
clam_25,Valid,19.75402,1,1,1,Unknown,0,0,0,0
clam_26,Valid,17.023901,2,2,2,Unknown,0,0,0,0
clam_27,Valid,215.2768,6,4,4,Unknown,0,0,0,0
clam_28,Valid,1661.6133,10,7,7,Unknown,0,0,0,0
clam_29,Valid,424.34955,13,10,10,Unknown,0,0,0,0
clam_30,Valid,52.866226,4,4,4,Unknown,0,0,0,0
clam_31,Timeout,5160.758,41,0,0,Unknown,0,0,0,0
clam_32,Timeout,5018.0767,97,49,0,Unknown,0,0,0,0
clam_33,Timeout,8142.9683,1,0,0,Unknown,0,0,0,0
clam_34,Valid,481.59583,8,6,2,Unknown,0,0,0,0
clam_35,Timeout,9473.072,4,4,2,Unknown,0,0,0,0
clam_36,Valid,29.031157,0,0,0,Unknown,0,0,0,0
clam_37,Valid,33.552586,0,0,0,Unknown,0,0,0,0
clam_38,Valid,44.765755,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,5079.9585,95,60,13,Unknown,0,0,0,0
clam_41,Timeout,5187.7876,48,42,7,Unknown,0,0,0,0
clam_42,Timeout,5047.994,9,9,1,Unknown,0,0,0,0
clam_43,Valid,304.12347,4,4,1,Unknown,0,0,0,0
clam_44,Timeout,5114.5977,47,47,4,Unknown,0,0,0,0
clam_45,Valid,45.73483,5,5,2,Unknown,0,0,0,0
clam_46,Valid,100.29139,3,3,1,Unknown,0,0,0,0
clam_47,Valid,121.806625,2,2,0,Unknown,0,0,0,0
clam_48,Valid,209.35641,5,3,3,Unknown,0,0,0,0
clam_49,Timeout,5040.1465,73,52,0,Unknown,0,0,0,0
clam_50,Timeout,6209.1123,37,37,3,Unknown,0,0,0,0
clam_75,Valid,64.17097,1,1,1,Unknown,0,0,0,0
clam_76,Valid,296.00137,1,1,1,Unknown,0,0,0,0
clam_77,Valid,155.86983,3,2,2,Unknown,0,0,0,0
clam_78,Timeout,5066.5757,50,3,3,Unknown,0,0,0,0
clam_79,Valid,3776.6868,36,33,33,Unknown,0,0,0,0
clam_80,Valid,4034.5273,35,33,33,Unknown,0,0,0,0
clam_81,Valid,490.8488,4,4,4,Unknown,0,0,0,0
clam_82,Valid,277.49234,4,2,2,Unknown,0,0,0,0
clam_83,Timeout,5210.049,59,22,1,Unknown,0,0,0,0
clam_84,Timeout,5478.8633,2,1,1,Unknown,0,0,0,0
clam_85,Valid,265.90732,2,2,2,Unknown,0,0,0,0
clam_86,Timeout,5889.635,0,0,0,Unknown,0,0,0,0
