name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,14.631885,3,2,2,Unknown,0,0,0,0
clam_2,Valid,77.26241,3,2,2,Unknown,0,0,0,0
clam_3,Valid,7.9221773,0,0,0,Unknown,0,0,0,0
clam_4,Valid,87.17708,3,2,2,Unknown,0,0,0,0
clam_5,Valid,15.7649555,1,1,1,Unknown,0,0,0,0
clam_6,Valid,46.902477,1,1,1,Unknown,0,0,0,0
clam_7,Valid,29.729797,2,1,1,Unknown,0,0,0,0
clam_8,Valid,76.780846,6,2,2,Unknown,0,0,0,0
clam_9,Valid,91.03169,9,5,5,Unknown,0,0,0,0
clam_10,Valid,18.529243,1,1,1,Unknown,0,0,0,0
clam_11,Valid,3505.5544,34,32,32,Unknown,0,0,0,0
clam_12,Valid,84.33487,2,2,2,Unknown,0,0,0,0
clam_13,Valid,25.778969,7,7,3,Unknown,0,0,0,0
clam_14,Timeout,42223.438,55,9,7,Unknown,0,0,0,0
clam_15,Valid,6.857161,1,1,1,Unknown,0,0,0,0
clam_16,Valid,17.184391,3,3,3,Unknown,0,0,0,0
clam_17,Valid,98.81641,5,4,4,Unknown,0,0,0,0
clam_18,Valid,3621.0625,36,33,33,Unknown,0,0,0,0
clam_19,Valid,114.52899,5,4,4,Unknown,0,0,0,0
clam_20,Valid,188.47562,5,5,5,Unknown,0,0,0,0
clam_21,Timeout,5161.309,62,22,1,Unknown,0,0,0,0
clam_22,Valid,218.94716,7,6,6,Unknown,0,0,0,0
clam_23,Valid,213.14175,7,6,6,Unknown,0,0,0,0
clam_24,Valid,18.805904,2,2,2,Unknown,0,0,0,0
clam_25,Valid,18.86292,1,1,1,Unknown,0,0,0,0
clam_26,Valid,16.57574,2,2,2,Unknown,0,0,0,0
clam_27,Valid,434.2409,12,9,9,Unknown,0,0,0,0
clam_28,Valid,1917.8533,11,8,8,Unknown,0,0,0,0
clam_29,Valid,409.3917,13,10,10,Unknown,0,0,0,0
clam_30,Valid,49.5744,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,5006.386,43,0,0,Unknown,0,0,0,0
clam_32,Timeout,5048.3354,75,31,2,Unknown,0,0,0,0
clam_33,Timeout,5394.7583,1,0,0,Unknown,0,0,0,0
clam_34,Timeout,5706.0195,23,16,4,Unknown,0,0,0,0
clam_35,Timeout,5747.223,1,0,0,Unknown,0,0,0,0
clam_36,Valid,58.514416,1,1,0,Unknown,0,0,0,0
clam_37,Valid,72.569435,6,6,2,Unknown,0,0,0,0
clam_38,Valid,70.77108,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,5307.62,99,57,13,Unknown,0,0,0,0
clam_41,Timeout,5167.878,45,37,5,Unknown,0,0,0,0
clam_42,Timeout,5073.1123,5,5,1,Unknown,0,0,0,0
clam_43,Valid,378.25848,7,7,2,Unknown,0,0,0,0
clam_44,Timeout,5057.9097,50,46,4,Unknown,0,0,0,0
clam_45,Valid,238.2609,11,8,3,Unknown,0,0,0,0
clam_46,Valid,88.64247,3,3,1,Unknown,0,0,0,0
clam_47,Valid,115.560104,2,2,0,Unknown,0,0,0,0
clam_48,Valid,510.29306,14,11,11,Unknown,0,0,0,0
clam_49,Timeout,5025.242,84,47,0,Unknown,0,0,0,0
clam_50,Timeout,5026.5776,95,36,0,Unknown,0,0,0,0
clam_75,Valid,110.39553,2,2,2,Unknown,0,0,0,0
clam_76,Valid,486.63925,2,2,2,Unknown,0,0,0,0
clam_77,Valid,168.19502,3,2,2,Unknown,0,0,0,0
clam_78,Timeout,5033.1704,50,4,4,Unknown,0,0,0,0
clam_79,Valid,3732.873,35,33,33,Unknown,0,0,0,0
clam_80,Valid,3995.63,34,32,32,Unknown,0,0,0,0
clam_81,Valid,504.70395,4,4,4,Unknown,0,0,0,0
clam_82,Valid,270.4394,4,2,2,Unknown,0,0,0,0
clam_83,Timeout,5160.5923,58,22,1,Unknown,0,0,0,0
clam_84,Timeout,6104.392,2,1,1,Unknown,0,0,0,0
clam_85,Valid,629.9484,3,2,2,Unknown,0,0,0,0
clam_86,Timeout,7864.037,1,0,0,Unknown,0,0,0,0
