name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,15.309023,3,2,2,Unknown,0,0,0,0
clam_2,Valid,111.468994,4,3,3,Unknown,0,0,0,0
clam_3,Valid,8.493256,0,0,0,Unknown,0,0,0,0
clam_4,Valid,82.63308,3,2,2,Unknown,0,0,0,0
clam_5,Valid,18.710827,1,1,1,Unknown,0,0,0,0
clam_6,Valid,49.468567,2,2,2,Unknown,0,0,0,0
clam_7,Valid,24.334309,2,1,1,Unknown,0,0,0,0
clam_8,Valid,83.26748,6,2,2,Unknown,0,0,0,0
clam_9,Valid,338.13467,19,10,3,Unknown,0,0,0,0
clam_10,Valid,18.414387,1,1,1,Unknown,0,0,0,0
clam_11,Valid,3659.255,34,32,32,Unknown,0,0,0,0
clam_12,Valid,51.01987,1,1,1,Unknown,0,0,0,0
clam_13,Valid,25.312288,7,6,2,Unknown,0,0,0,0
clam_14,Timeout,5009.9404,17,16,3,Unknown,0,0,0,0
clam_15,Valid,6.123856,1,1,1,Unknown,0,0,0,0
clam_16,Invalid,1147.4357,5,3,1,Unknown,0,0,0,0
clam_17,Valid,118.87454,5,4,4,Unknown,0,0,0,0
clam_18,Valid,3540.411,35,33,33,Unknown,0,0,0,0
clam_19,Valid,124.30339,5,4,4,Unknown,0,0,0,0
clam_20,Timeout,5010.9434,5,2,1,Unknown,0,0,0,0
clam_21,Timeout,5029.758,47,34,1,Unknown,0,0,0,0
clam_22,Valid,210.7244,7,6,6,Unknown,0,0,0,0
clam_23,Valid,128.85298,5,4,4,Unknown,0,0,0,0
clam_24,Valid,20.3398,2,2,2,Unknown,0,0,0,0
clam_25,Valid,19.449825,1,1,1,Unknown,0,0,0,0
clam_26,Valid,15.227898,2,2,2,Unknown,0,0,0,0
clam_27,Valid,156.5955,4,4,4,Unknown,0,0,0,0
clam_28,Valid,1247.3767,5,5,5,Unknown,0,0,0,0
clam_29,Timeout,5100.4478,22,0,0,Unknown,0,0,0,0
clam_30,Valid,67.82246,4,4,4,Unknown,0,0,0,0
clam_31,Timeout,5002.8296,32,0,0,Unknown,0,0,0,0
clam_32,Timeout,5009.593,85,51,0,Unknown,0,0,0,0
clam_33,Timeout,5637.209,1,0,0,Unknown,0,0,0,0
clam_34,Valid,71.679375,7,6,1,Unknown,0,0,0,0
clam_35,Timeout,7109.6387,4,4,2,Unknown,0,0,0,0
clam_36,Valid,22.79052,0,0,0,Unknown,0,0,0,0
clam_37,Valid,24.071405,0,0,0,Unknown,0,0,0,0
clam_38,Valid,34.19473,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,5017.2593,97,65,24,Unknown,0,0,0,0
clam_41,Timeout,5057.081,72,56,7,Unknown,0,0,0,0
clam_42,Timeout,5851.918,14,13,1,Unknown,0,0,0,0
clam_43,Valid,173.8827,3,3,1,Unknown,0,0,0,0
clam_44,Timeout,5008.756,45,45,2,Unknown,0,0,0,0
clam_45,Valid,49.376606,5,5,2,Unknown,0,0,0,0
clam_46,Valid,87.07719,3,3,1,Unknown,0,0,0,0
clam_47,Valid,96.899734,3,3,0,Unknown,0,0,0,0
clam_48,Valid,138.44165,3,2,2,Unknown,0,0,0,0
clam_49,Timeout,5060.1416,54,54,0,Unknown,0,0,0,0
clam_50,Timeout,5026.6377,30,28,3,Unknown,0,0,0,0
clam_75,Valid,64.68324,1,1,1,Unknown,0,0,0,0
clam_76,Valid,365.56656,1,1,1,Unknown,0,0,0,0
clam_77,Valid,197.87346,3,2,2,Unknown,0,0,0,0
clam_78,Timeout,5040.8945,24,4,4,Unknown,0,0,0,0
clam_79,Valid,3856.8477,35,33,33,Unknown,0,0,0,0
clam_80,Valid,4038.6257,34,32,32,Unknown,0,0,0,0
clam_81,Valid,749.124,4,4,4,Unknown,0,0,0,0
clam_82,Invalid,2637.1633,4,2,2,Unknown,0,0,0,0
clam_83,Timeout,5055.4185,46,34,1,Unknown,0,0,0,0
clam_84,Timeout,6174.2656,2,1,1,Unknown,0,0,0,0
clam_85,Valid,409.4494,5,5,5,Unknown,0,0,0,0
clam_86,Timeout,8161.497,4,1,1,Unknown,0,0,0,0
