name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
goal_01,Valid,14.556125,0,0,0,Unknown,0,0,0,0
goal_02,Valid,26.182457,0,0,0,Unknown,0,0,0,0
goal_03,Valid,43.438126,0,0,0,Unknown,0,0,0,0
goal_04,Valid,24.27554,0,0,0,Unknown,0,0,0,0
goal_05,Valid,8.4745,0,0,0,Unknown,0,0,0,0
goal_06,Valid,1.454916,0,0,0,Unknown,0,0,0,0
goal_07,Valid,1.3627081,0,0,0,Unknown,0,0,0,0
goal_08,Valid,1.7935001,0,0,0,Unknown,0,0,0,0
goal_09,Valid,6.370625,1,0,0,Unknown,0,0,0,0
goal_10,Valid,0.77308303,0,0,0,Unknown,0,0,0,0
goal_11,Valid,1.0365,0,0,0,Unknown,0,0,0,0
goal_12,Valid,5.575916,0,0,0,Unknown,0,0,0,0
goal_13,Valid,2.051041,0,0,0,Unknown,0,0,0,0
goal_14,Valid,10.384083,0,0,0,Unknown,0,0,0,0
goal_15,Valid,20.612915,0,0,0,Unknown,0,0,0,0
goal_16,Valid,2.4077911,0,0,0,Unknown,0,0,0,0
goal_17,Valid,1.6549159,0,0,0,Unknown,0,0,0,0
goal_18,Valid,1.3304579,0,0,0,Unknown,0,0,0,0
goal_19,Valid,15.60325,1,0,0,Unknown,0,0,0,0
goal_20,Valid,201.61325,4,3,3,Unknown,0,0,0,0
goal_21,Valid,1.17825,0,0,0,Unknown,0,0,0,0
goal_22,Valid,6.91175,1,0,0,Unknown,0,0,0,0
goal_23,Valid,3.8760831,1,0,0,Unknown,0,0,0,0
goal_24,Valid,8.031833,1,0,0,Unknown,0,0,0,0
goal_25,Valid,7.0505,1,0,0,Unknown,0,0,0,0
goal_26,Valid,15.745666,0,0,0,Unknown,0,0,0,0
goal_27,Valid,21.299002,0,0,0,Unknown,0,0,0,0
goal_28,Valid,36.641834,3,3,1,Unknown,0,0,0,0
goal_29,Valid,27.84775,2,2,1,Unknown,0,0,0,0
goal_30,Valid,35.876537,3,3,1,Unknown,0,0,0,0
goal_31,Valid,7.772375,1,0,0,Unknown,0,0,0,0
goal_32,Valid,3.909541,1,0,0,Unknown,0,0,0,0
goal_33,Valid,6.563458,1,0,0,Unknown,0,0,0,0
goal_34,Valid,8.385082,1,0,0,Unknown,0,0,0,0
goal_35,Valid,2.863833,0,0,0,Unknown,0,0,0,0
goal_36,Valid,3.089041,0,0,0,Unknown,0,0,0,0
goal_37,Valid,16.589125,0,0,0,Unknown,0,0,0,0
goal_38,Valid,30.639791,0,0,0,Unknown,0,0,0,0
goal_39,Valid,6.5423746,0,0,0,Unknown,0,0,0,0
